# COSI coordinate transformer output
# OSI2 magnet V1 shimming coils on
# Date,240913
# x[m],y[m],z[m],Bx[T],By[T],Bz[T]
0.00893,-0.04704,-0.02902,-0.00004,-0.00203,-0.04753
0.00893,-0.04704,-0.03847,-0.00004,-0.00203,-0.04753
0.00893,-0.04704,-0.04791,-0.00005,-0.00201,-0.04755
0.00893,-0.04704,-0.05736,-0.00004,-0.00200,-0.04755
0.00893,-0.04704,-0.06680,-0.00005,-0.00199,-0.04757
-0.00051,-0.04704,-0.06680,-0.00004,-0.00199,-0.04758
-0.00051,-0.04704,-0.05736,-0.00003,-0.00200,-0.04756
-0.00051,-0.04704,-0.04791,-0.00004,-0.00202,-0.04756
-0.00051,-0.04704,-0.03847,-0.00004,-0.00203,-0.04755
-0.00051,-0.04704,-0.02902,0.00000,0.00000,0.00000
