# COSI coordinate transformer output
# OSI2 magnet V2.1
# Date,240822
# x[m],y[m],z[m],Bx[T],By[T],Bz[T]
0.00000,-0.00000,-0.10000,-0.04845,-0.00213,0.00078
0.01000,-0.00000,-0.10000,-0.04840,-0.00232,0.00082
0.02000,-0.00000,-0.10000,-0.04831,-0.00248,0.00084
0.03000,-0.00000,-0.10000,-0.04820,-0.00263,0.00088
0.04000,-0.00000,-0.10000,-0.04807,-0.00276,0.00093
0.05000,-0.00000,-0.10000,-0.04794,-0.00287,0.00095
0.06000,-0.00000,-0.10000,-0.04781,-0.00292,0.00099
0.06000,0.01000,-0.10000,-0.04770,-0.00299,0.00094
0.05000,0.01000,-0.10000,-0.04786,-0.00289,0.00087
0.04000,0.01000,-0.10000,-0.04802,-0.00278,0.00083
0.03000,0.01000,-0.10000,-0.04815,-0.00265,0.00079
0.02000,0.01000,-0.10000,-0.04827,-0.00249,0.00076
0.01000,0.01000,-0.10000,-0.04836,-0.00232,0.00073
0.00000,0.01000,-0.10000,-0.04842,-0.00214,0.00069
-0.01000,0.01000,-0.10000,-0.04845,-0.00197,0.00067
-0.02000,0.01000,-0.10000,-0.04844,-0.00178,0.00062
-0.03000,0.01000,-0.10000,-0.04840,-0.00157,0.00059
-0.04000,0.01000,-0.10000,-0.04833,-0.00139,0.00056
-0.05000,0.01000,-0.10000,-0.04824,-0.00124,0.00055
-0.06000,0.01000,-0.10000,-0.04813,-0.00106,0.00053
-0.06000,0.02000,-0.10000,-0.04812,-0.00106,0.00036
-0.05000,0.02000,-0.10000,-0.04824,-0.00124,0.00040
-0.04000,0.02000,-0.10000,-0.04834,-0.00141,0.00044
-0.03000,0.02000,-0.10000,-0.04840,-0.00160,0.00048
-0.02000,0.02000,-0.10000,-0.04843,-0.00178,0.00052
-0.01000,0.02000,-0.10000,-0.04843,-0.00198,0.00056
0.00000,0.02000,-0.10000,-0.04840,-0.00216,0.00061
0.01000,0.02000,-0.10000,-0.04834,-0.00233,0.00063
0.02000,0.02000,-0.10000,-0.04825,-0.00250,0.00064
0.03000,0.02000,-0.10000,-0.04813,-0.00266,0.00066
0.04000,0.02000,-0.10000,-0.04798,-0.00280,0.00068
0.05000,0.02000,-0.10000,-0.04781,-0.00293,0.00069
0.06000,0.02000,-0.10000,-0.04761,-0.00303,0.00070
0.05000,0.03000,-0.10000,-0.04786,-0.00289,0.00048
0.04000,0.03000,-0.10000,-0.04801,-0.00278,0.00053
0.03000,0.03000,-0.10000,-0.04814,-0.00265,0.00053
0.02000,0.03000,-0.10000,-0.04825,-0.00250,0.00055
0.01000,0.03000,-0.10000,-0.04834,-0.00234,0.00053
0.00000,0.03000,-0.10000,-0.04840,-0.00217,0.00052
-0.01000,0.03000,-0.10000,-0.04843,-0.00200,0.00048
-0.02000,0.03000,-0.10000,-0.04844,-0.00182,0.00043
-0.03000,0.03000,-0.10000,-0.04842,-0.00162,0.00040
-0.04000,0.03000,-0.10000,-0.04837,-0.00144,0.00034
-0.05000,0.03000,-0.10000,-0.04830,-0.00128,0.00026
-0.05000,0.04000,-0.10000,-0.04835,-0.00134,0.00025
-0.04000,0.04000,-0.10000,-0.04840,-0.00150,0.00030
-0.03000,0.04000,-0.10000,-0.04843,-0.00166,0.00035
-0.02000,0.04000,-0.10000,-0.04845,-0.00183,0.00040
-0.01000,0.04000,-0.10000,-0.04843,-0.00201,0.00042
0.00000,0.04000,-0.10000,-0.04840,-0.00218,0.00044
0.01000,0.04000,-0.10000,-0.04834,-0.00233,0.00045
0.02000,0.04000,-0.10000,-0.04826,-0.00250,0.00046
0.03000,0.04000,-0.10000,-0.04816,-0.00264,0.00046
