# COSI2 B0 scan
# time 2024-09-10 10:16:08.266727
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240907/240907_ball_R120_no_inserts_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
-60.120,-90.091,-0.029,-47.2260,-2.0000,-0.8300,47.2750
-60.120,-90.091,9.971,-47.2280,-2.0100,-0.8600,47.2780
-60.120,-90.091,19.971,-47.2240,-2.0100,-0.8600,47.2750
-60.120,-90.091,29.971,-47.2350,-2.0300,-0.8800,47.2870
-60.120,-90.091,39.971,-47.2510,-2.0400,-0.9000,47.3040
-60.120,-90.091,49.971,-47.2810,-2.0400,-0.9100,47.3310
-50.120,-90.091,59.971,-47.3100,-2.0700,-0.9000,47.3630
-50.120,-90.091,49.971,-47.3060,-2.0400,-0.9000,47.3580
-50.120,-90.091,39.971,-47.2820,-2.0400,-0.8900,47.3340
-50.120,-90.091,29.971,-47.2570,-2.0300,-0.8800,47.3090
-50.120,-90.091,19.971,-47.2480,-2.0200,-0.8600,47.2990
-50.120,-90.091,9.971,-47.2430,-2.0200,-0.8500,47.2930
-50.120,-90.091,-0.029,-47.2400,-2.0100,-0.8400,47.2900
-50.120,-90.091,-10.029,-47.2430,-2.0000,-0.8300,47.2930
-50.120,-90.091,-20.029,-47.2480,-2.0100,-0.8100,47.2970
-50.120,-90.091,-30.029,-47.2560,-1.9900,-0.7900,47.3040
-50.120,-90.091,-40.029,-47.2630,-2.0000,-0.7800,47.3120
-50.120,-90.091,-50.029,-47.2770,-2.0000,-0.7700,47.3260
-50.120,-90.091,-60.029,-47.2960,-2.0000,-0.7700,47.3440
-40.120,-90.091,-60.029,-47.3000,-2.0000,-0.7900,47.3490
-40.120,-90.091,-50.029,-47.2950,-2.0100,-0.8000,47.3440
-40.120,-90.091,-40.029,-47.2840,-1.9900,-0.8000,47.3330
-40.120,-90.091,-30.029,-47.2710,-2.0000,-0.8200,47.3210
-40.120,-90.091,-20.029,-47.2600,-2.0000,-0.8100,47.3100
-40.120,-90.091,-10.029,-47.2570,-2.0100,-0.8400,47.3070
-40.120,-90.091,-0.029,-47.2520,-2.0200,-0.8300,47.3020
-40.120,-90.091,9.971,-47.2530,-2.0200,-0.8500,47.3030
-40.120,-90.091,19.971,-47.2530,-2.0300,-0.8700,47.3050
