X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
274.96, 167.06, 79.30, 4.318000, -48.533000, 1.555000
264.52, 167.06, 79.30, 4.219000, -48.605000, 1.510000
254.09, 167.06, 79.30, 4.116000, -48.647000, 1.460000
243.65, 167.06, 79.30, 4.034000, -48.692000, 1.430000
233.22, 167.06, 79.30, 3.926000, -48.729000, 1.406000
222.78, 167.06, 79.30, 3.816000, -48.750000, 1.404000
212.35, 167.06, 79.30, 3.704000, -48.768000, 1.387000
201.91, 167.06, 79.30, 3.617000, -48.753000, 1.410000
191.48, 167.06, 79.30, 3.500000, -48.738000, 1.395000
170.61, 177.50, 79.30, 3.263000, -48.590000, 1.444000
181.04, 177.50, 79.30, 3.276000, -48.643000, 1.432000
191.48, 177.50, 79.30, 3.358000, -48.672000, 1.410000
201.91, 177.50, 79.30, 3.473000, -48.709000, 1.397000
212.35, 177.50, 79.30, 3.597000, -48.726000, 1.406000
222.78, 177.50, 79.30, 3.720000, -48.732000, 1.393000
233.22, 177.50, 79.30, 3.823000, -48.719000, 1.416000
243.65, 177.50, 79.30, 3.941000, -48.680000, 1.440000
254.09, 177.50, 79.30, 4.057000, -48.638000, 1.475000
264.52, 177.50, 79.30, 4.165000, -48.573000, 1.518000
274.96, 177.50, 79.30, 4.237000, -48.515000, 1.552000
285.39, 177.50, 79.30, 4.323000, -48.453000, 1.590000
306.26, 187.93, 79.30, 4.496000, -48.277000, 1.868000
295.83, 187.93, 79.30, 4.501000, -48.323000, 1.741000
285.39, 187.93, 79.30, 4.435000, -48.394000, 1.666000
274.96, 187.93, 79.30, 4.354000, -48.454000, 1.603000
264.52, 187.93, 79.30, 4.266000, -48.541000, 1.532000
254.09, 187.93, 79.30, 4.165000, -48.603000, 1.507000
243.65, 187.93, 79.30, 4.073000, -48.645000, 1.445000
233.22, 187.93, 79.30, 3.947000, -48.687000, 1.438000
222.78, 187.93, 79.30, 3.821000, -48.714000, 1.442000
212.35, 187.93, 79.30, 3.686000, -48.702000, 1.404000
201.91, 187.93, 79.30, 3.572000, -48.681000, 1.432000
191.48, 187.93, 79.30, 3.447000, -48.636000, 1.423000
181.04, 187.93, 79.30, 3.327000, -48.576000, 1.474000
170.61, 187.93, 79.30, 3.222000, -48.522000, 1.484000
160.17, 198.37, 79.30, 3.089000, -48.360000, 1.508000
170.61, 198.37, 79.30, 3.078000, -48.440000, 1.455000
181.04, 198.37, 79.30, 3.172000, -48.520000, 1.435000
191.48, 198.37, 79.30, 3.291000, -48.587000, 1.415000
201.91, 198.37, 79.30, 3.423000, -48.648000, 1.400000
212.35, 198.37, 79.30, 3.567000, -48.677000, 1.389000
222.78, 198.37, 79.30, 3.689000, -48.685000, 1.416000
233.22, 198.37, 79.30, 3.833000, -48.664000, 1.445000
243.65, 198.37, 79.30, 3.976000, -48.632000, 1.445000
254.09, 198.37, 79.30, 4.106000, -48.571000, 1.478000
264.52, 198.37, 79.30, 4.209000, -48.487000, 1.512000
274.96, 198.37, 79.30, 4.320000, -48.395000, 1.580000
285.39, 198.37, 79.30, 4.422000, -48.294000, 1.625000
295.83, 198.37, 79.30, 4.495000, -48.196000, 1.690000
316.70, 208.80, 79.30, 4.730000, -47.919000, 1.407000
306.26, 208.80, 79.30, 4.707000, -48.001000, 1.550000
295.83, 208.80, 79.30, 4.608000, -48.123000, 1.591000
285.39, 208.80, 79.30, 4.518000, -48.228000, 1.559000
274.96, 208.80, 79.30, 4.442000, -48.348000, 1.535000
264.52, 208.80, 79.30, 4.341000, -48.450000, 1.489000
254.09, 208.80, 79.30, 4.223000, -48.535000, 1.458000
243.65, 208.80, 79.30, 4.112000, -48.623000, 1.428000
233.22, 208.80, 79.30, 3.969000, -48.658000, 1.409000
222.78, 208.80, 79.30, 3.815000, -48.669000, 1.398000
212.35, 208.80, 79.30, 3.659000, -48.674000, 1.374000
201.91, 208.80, 79.30, 3.535000, -48.634000, 1.376000
191.48, 208.80, 79.30, 3.393000, -48.561000, 1.360000
181.04, 208.80, 79.30, 3.249000, -48.492000, 1.381000
170.61, 208.80, 79.30, 3.140000, -48.403000, 1.373000
160.17, 208.80, 79.30, 3.018000, -48.309000, 1.394000
149.74, 219.24, 79.30, 2.889000, -48.229000, 1.328000
160.17, 219.24, 79.30, 2.920000, -48.302000, 1.323000
170.61, 219.24, 79.30, 2.999000, -48.396000, 1.312000
181.04, 219.24, 79.30, 3.125000, -48.482000, 1.310000
191.48, 219.24, 79.30, 3.251000, -48.546000, 1.312000
201.91, 219.24, 79.30, 3.375000, -48.621000, 1.317000
212.35, 219.24, 79.30, 3.529000, -48.664000, 1.329000
222.78, 219.24, 79.30, 3.696000, -48.677000, 1.350000
233.22, 219.24, 79.30, 3.853000, -48.655000, 1.351000
243.65, 219.24, 79.30, 3.987000, -48.601000, 1.400000
254.09, 219.24, 79.30, 4.135000, -48.527000, 1.418000
264.52, 219.24, 79.30, 4.265000, -48.438000, 1.468000
274.96, 219.24, 79.30, 4.388000, -48.332000, 1.494000
285.39, 219.24, 79.30, 4.469000, -48.217000, 1.513000
295.83, 219.24, 79.30, 4.550000, -48.104000, 1.528000
306.26, 219.24, 79.30, 4.595000, -48.032000, 1.530000
316.70, 229.67, 79.30, 4.623000, -47.948000, 1.716000
306.26, 229.67, 79.30, 4.657000, -47.955000, 1.570000
295.83, 229.67, 79.30, 4.622000, -48.050000, 1.506000
285.39, 229.67, 79.30, 4.556000, -48.155000, 1.468000
274.96, 229.67, 79.30, 4.486000, -48.297000, 1.451000
264.52, 229.67, 79.30, 4.385000, -48.415000, 1.417000
254.09, 229.67, 79.30, 4.257000, -48.511000, 1.394000
243.65, 229.67, 79.30, 4.117000, -48.593000, 1.371000
233.22, 229.67, 79.30, 3.988000, -48.650000, 1.361000
222.78, 229.67, 79.30, 3.835000, -48.678000, 1.319000
212.35, 229.67, 79.30, 3.671000, -48.669000, 1.304000
201.91, 229.67, 79.30, 3.537000, -48.632000, 1.318000
191.48, 229.67, 79.30, 3.377000, -48.576000, 1.269000
181.04, 229.67, 79.30, 3.222000, -48.500000, 1.269000
170.61, 229.67, 79.30, 3.086000, -48.406000, 1.265000
160.17, 229.67, 79.30, 2.980000, -48.308000, 1.277000
149.74, 240.11, 79.30, 2.789000, -48.179000, 1.207000
160.17, 240.11, 79.30, 2.793000, -48.286000, 1.191000
170.61, 240.11, 79.30, 2.932000, -48.411000, 1.196000
181.04, 240.11, 79.30, 3.095000, -48.512000, 1.198000
191.48, 240.11, 79.30, 3.250000, -48.583000, 1.217000
201.91, 240.11, 79.30, 3.405000, -48.636000, 1.243000
212.35, 240.11, 79.30, 3.539000, -48.674000, 1.266000
222.78, 240.11, 79.30, 3.710000, -48.678000, 1.304000
233.22, 240.11, 79.30, 3.871000, -48.646000, 1.306000
243.65, 240.11, 79.30, 4.004000, -48.606000, 1.341000
254.09, 240.11, 79.30, 4.155000, -48.522000, 1.348000
264.52, 240.11, 79.30, 4.295000, -48.411000, 1.376000
274.96, 240.11, 79.30, 4.418000, -48.298000, 1.357000
285.39, 240.11, 79.30, 4.508000, -48.153000, 1.387000
295.83, 240.11, 79.30, 4.595000, -48.005000, 1.404000
306.26, 240.11, 79.30, 4.671000, -47.857000, 1.413000
306.26, 250.54, 79.30, 4.688000, -47.900000, 1.184000
295.83, 250.54, 79.30, 4.641000, -48.040000, 1.242000
285.39, 250.54, 79.30, 4.578000, -48.172000, 1.287000
274.96, 250.54, 79.30, 4.500000, -48.309000, 1.287000
264.52, 250.54, 79.30, 4.392000, -48.413000, 1.299000
254.09, 250.54, 79.30, 4.286000, -48.527000, 1.293000
243.65, 250.54, 79.30, 4.150000, -48.598000, 1.277000
233.22, 250.54, 79.30, 4.001000, -48.652000, 1.285000
222.78, 250.54, 79.30, 3.836000, -48.680000, 1.269000
