# COSI2 B0 scan,,,,,,
# time 2024-05-22 18:55:30.362520,,,,,,
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_no_magnet_80mm_8pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
289.7,147.1,225.8,-47.541,-0.835,2.02,47.591
300.37,147.1,225.8,-47.558,-0.825,2.019,47.608
300.37,157.77,225.8,-47.557,-0.83,2.042,47.608
289.7,157.77,225.8,-47.541,-0.831,2.042,47.595
279.03,157.77,225.8,-47.526,-0.842,2.039,47.575
268.37,157.77,225.8,-47.522,-0.842,2.039,47.572
257.7,157.77,225.8,-47.512,-0.854,2.033,47.565
247.03,157.77,225.8,-47.508,-0.857,2.022,47.559
236.37,157.77,225.8,-47.505,-0.863,2.019,47.554
225.7,157.77,225.8,-47.513,-0.859,2.017,47.556
215.03,157.77,225.8,-47.511,-0.858,2.012,47.564
204.37,157.77,225.8,-47.524,-0.867,2.006,47.57
193.7,168.43,225.8,-47.531,-0.869,2.002,47.578
204.37,168.43,225.8,-47.514,-0.862,2.006,47.564
215.03,168.43,225.8,-47.508,-0.863,2.011,47.558
225.7,168.43,225.8,-47.503,-0.861,2.022,47.554
236.37,168.43,225.8,-47.501,-0.856,2.028,47.552
247.03,168.43,225.8,-47.505,-0.852,2.035,47.557
257.7,168.43,225.8,-47.502,-0.849,2.04,47.554
268.37,168.43,225.8,-47.512,-0.843,2.052,47.564
279.03,168.43,225.8,-47.521,-0.843,2.053,47.576
289.7,168.43,225.8,-47.544,-0.832,2.062,47.596
289.7,179.1,225.8,-47.534,-0.833,2.081,47.587
279.03,179.1,225.8,-47.517,-0.833,2.074,47.573
268.37,179.1,225.8,-47.505,-0.843,2.063,47.557
257.7,179.1,225.8,-47.501,-0.845,2.054,47.553
247.03,179.1,225.8,-47.495,-0.849,2.043,47.545
236.37,179.1,225.8,-47.496,-0.856,2.03,47.544
225.7,179.1,225.8,-47.498,-0.852,2.023,47.545
215.03,179.1,225.8,-47.496,-0.859,2.01,47.545
225.7,189.77,225.8,-47.488,-0.852,2.026,47.538
236.37,189.77,225.8,-47.48,-0.859,2.029,47.533
247.03,189.77,225.8,-47.483,-0.846,2.043,47.535
257.7,189.77,225.8,-47.491,-0.847,2.061,47.543
236.37,211.1,236.47,-47.463,-0.851,2.04,47.517
247.03,211.1,236.47,-47.468,-0.848,2.049,47.519
289.7,200.43,236.47,-47.508,-0.837,2.109,47.562
279.03,200.43,236.47,-47.497,-0.833,2.091,47.551
268.37,200.43,236.47,-47.488,-0.84,2.071,47.541
257.7,200.43,236.47,-47.485,-0.843,2.061,47.535
247.03,200.43,236.47,-47.48,-0.85,2.046,47.534
236.37,200.43,236.47,-47.479,-0.85,2.035,47.528
225.7,200.43,236.47,-47.481,-0.845,2.024,47.531
215.03,200.43,236.47,-47.482,-0.853,2.009,47.534
193.7,189.77,236.47,-47.52,-0.863,1.991,47.566
204.37,189.77,236.47,-47.499,-0.861,1.999,47.549
215.03,189.77,236.47,-47.498,-0.858,2.008,47.548
225.7,189.77,236.47,-47.493,-0.857,2.022,47.544
236.37,189.77,236.47,-47.492,-0.85,2.023,47.542
247.03,189.77,236.47,-47.492,-0.855,2.039,47.542
257.7,189.77,236.47,-47.496,-0.843,2.053,47.548
268.37,189.77,236.47,-47.502,-0.845,2.068,47.554
279.03,189.77,236.47,-47.51,-0.834,2.077,47.563
289.7,189.77,236.47,-47.525,-0.833,2.093,47.578
311.03,179.1,236.47,-47.59,-0.827,2.09,47.643
300.37,179.1,236.47,-47.558,-0.829,2.08,47.612
289.7,179.1,236.47,-47.54,-0.835,2.077,47.592
279.03,179.1,236.47,-47.523,-0.841,2.065,47.573
268.37,179.1,236.47,-47.513,-0.844,2.056,47.564
257.7,179.1,236.47,-47.504,-0.843,2.043,47.558
247.03,179.1,236.47,-47.5,-0.844,2.032,47.55
236.37,179.1,236.47,-47.496,-0.858,2.028,47.546
225.7,179.1,236.47,-47.495,-0.854,2.014,47.546
215.03,179.1,236.47,-47.506,-0.853,2.008,47.554
204.37,179.1,236.47,-47.515,-0.857,2,47.56
193.7,179.1,236.47,-47.524,-0.863,1.991,47.575
183.03,168.43,236.47,-47.542,-0.863,1.986,47.593
193.7,168.43,236.47,-47.529,-0.861,1.993,47.578
204.37,168.43,236.47,-47.519,-0.857,1.997,47.569
215.03,168.43,236.47,-47.514,-0.853,2.005,47.564
225.7,168.43,236.47,-47.51,-0.855,2.012,47.56
236.37,168.43,236.47,-47.51,-0.858,2.015,47.557
247.03,168.43,236.47,-47.507,-0.851,2.019,47.56
257.7,168.43,236.47,-47.514,-0.849,2.034,47.565
268.37,168.43,236.47,-47.522,-0.846,2.041,47.573
279.03,168.43,236.47,-47.53,-0.844,2.05,47.579
289.7,168.43,236.47,-47.547,-0.834,2.053,47.601
300.37,168.43,236.47,-47.565,-0.831,2.057,47.618
311.03,157.77,236.47,-47.59,-0.818,2.028,47.641
300.37,157.77,236.47,-47.565,-0.83,2.038,47.62
289.7,157.77,236.47,-47.555,-0.834,2.034,47.606
279.03,157.77,236.47,-47.545,-0.84,2.04,47.596
268.37,157.77,236.47,-47.529,-0.846,2.031,47.58
257.7,157.77,236.47,-47.523,-0.848,2.022,47.575
247.03,157.77,236.47,-47.512,-0.851,2.017,47.563
236.37,157.77,236.47,-47.515,-0.852,2.009,47.565
225.7,157.77,236.47,-47.517,-0.861,2.009,47.567
215.03,157.77,236.47,-47.517,-0.855,1.999,47.561
204.37,157.77,236.47,-47.526,-0.856,1.998,47.575
193.7,157.77,236.47,-47.536,-0.857,1.997,47.588
172.37,147.1,236.47,-47.556,-0.873,1.998,47.605
183.03,147.1,236.47,-47.549,-0.87,1.994,47.599
193.7,147.1,236.47,-47.543,-0.858,1.996,47.593
204.37,147.1,236.47,-47.531,-0.863,1.995,47.576
215.03,147.1,236.47,-47.517,-0.857,1.999,47.571
225.7,147.1,236.47,-47.517,-0.862,2,47.568
236.37,147.1,236.47,-47.517,-0.85,2.011,47.568
247.03,147.1,236.47,-47.515,-0.853,2.009,47.565
257.7,147.1,236.47,-47.522,-0.847,2.006,47.573
268.37,147.1,236.47,-47.531,-0.851,2.017,47.583
279.03,147.1,236.47,-47.54,-0.837,2.013,47.594
289.7,147.1,236.47,-47.556,-0.836,2.018,47.604
300.37,147.1,236.47,-47.567,-0.825,2.01,47.619
311.03,147.1,236.47,-47.589,-0.821,2.012,47.639
321.7,136.43,236.47,-47.599,-0.805,1.987,47.648
311.03,136.43,236.47,-47.582,-0.815,1.99,47.63
300.37,136.43,236.47,-47.563,-0.823,1.997,47.607
289.7,136.43,236.47,-47.549,-0.833,2,47.6
279.03,136.43,236.47,-47.539,-0.843,2.006,47.589
268.37,136.43,236.47,-47.536,-0.845,2.006,47.586
257.7,136.43,236.47,-47.526,-0.848,1.998,47.576
247.03,136.43,236.47,-47.515,-0.858,2.007,47.567
236.37,136.43,236.47,-47.518,-0.864,2.008,47.57
225.7,136.43,236.47,-47.52,-0.861,2.003,47.568
215.03,136.43,236.47,-47.527,-0.862,2.002,47.58
204.37,136.43,236.47,-47.531,-0.868,2.003,47.584
193.7,136.43,236.47,-47.541,-0.866,2.003,47.592
183.03,136.43,236.47,-47.548,-0.87,1.997,47.596
183.03,125.77,236.47,-47.551,-0.875,2,47.601
193.7,125.77,236.47,-47.534,-0.872,1.998,47.586
204.37,125.77,236.47,-47.525,-0.874,2.001,47.58
215.03,125.77,236.47,-47.526,-0.864,1.992,47.576
225.7,125.77,236.47,-47.519,-0.864,2,47.568
236.37,125.77,236.47,-47.52,-0.86,2.003,47.569
247.03,125.77,236.47,-47.523,-0.852,2.002,47.567
257.7,125.77,236.47,-47.526,-0.856,2,47.573
268.37,125.77,236.47,-47.531,-0.846,1.996,47.581
279.03,125.77,236.47,-47.535,-0.841,1.995,47.584
289.7,125.77,236.47,-47.551,-0.837,1.986,47.6
300.37,125.77,236.47,-47.556,-0.823,1.983,47.609
311.03,115.1,236.47,-47.564,-0.82,1.968,47.61
300.37,115.1,236.47,-47.555,-0.829,1.981,47.599
289.7,115.1,236.47,-47.541,-0.826,1.976,47.589
279.03,115.1,236.47,-47.529,-0.843,1.984,47.576
268.37,115.1,236.47,-47.526,-0.846,1.989,47.572
257.7,115.1,236.47,-47.522,-0.852,1.993,47.569
247.03,115.1,236.47,-47.522,-0.857,1.987,47.571
236.37,115.1,236.47,-47.516,-0.867,1.992,47.566
225.7,115.1,236.47,-47.516,-0.86,1.997,47.568
215.03,115.1,236.47,-47.523,-0.859,1.999,47.574
204.37,115.1,236.47,-47.529,-0.874,1.996,47.575
193.7,115.1,236.47,-47.533,-0.871,1.999,47.583
183.03,104.43,236.47,-47.545,-0.88,2.006,47.596
193.7,104.43,236.47,-47.537,-0.876,2.006,47.586
204.37,104.43,236.47,-47.524,-0.878,2.002,47.574
215.03,104.43,236.47,-47.517,-0.878,1.991,47.572
225.7,104.43,236.47,-47.513,-0.868,1.989,47.562
236.37,104.43,236.47,-47.512,-0.865,1.989,47.559
247.03,104.43,236.47,-47.515,-0.862,1.988,47.566
257.7,104.43,236.47,-47.516,-0.857,1.983,47.57
268.37,104.43,236.47,-47.527,-0.843,1.983,47.574
