# COSI2 B0 scan
# time 2024-08-22 11:33:15.437139
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240722/ball_R120_10pts_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
0.014,-95.962,47.977,-47.3020,-0.7800,0.4000,47.3110
0.014,-95.962,35.977,-47.2950,-0.7900,0.4100,47.3070
0.014,-95.962,23.977,-47.2860,-0.7900,0.4100,47.2950
0.014,-95.962,11.977,-47.2830,-0.7900,0.4100,47.2910
0.014,-95.962,-0.023,-47.2830,-0.7900,0.3900,47.2910
0.014,-95.962,-12.023,-47.2760,-0.8000,0.4000,47.2850
0.014,-95.962,-24.023,-47.2820,-0.7900,0.4000,47.2910
0.014,-95.962,-36.023,-47.2840,-0.7900,0.4000,47.2910
0.014,-95.962,-48.023,-47.2850,-0.8000,0.3900,47.2870
0.014,-95.962,-60.023,-47.2900,-0.8000,0.3800,47.2950
-11.986,-95.962,-60.023,-47.2940,-0.8200,0.4000,47.3020
-11.986,-95.962,-48.023,-47.2980,-0.8000,0.3900,47.3070
-11.986,-95.962,-36.023,-47.2890,-0.8100,0.3900,47.2970
-11.986,-95.962,-24.023,-47.2860,-0.8000,0.4000,47.2940
-11.986,-95.962,-12.023,-47.2870,-0.7800,0.4000,47.2970
-11.986,-95.962,-0.023,-47.2790,-0.7900,0.4000,47.2870
-11.986,-95.962,11.977,-47.2830,-0.7900,0.4000,47.2910
-11.986,-95.962,23.977,-47.2920,-0.7800,0.4000,47.3010
-11.986,-95.962,35.977,-47.2970,-0.7900,0.4000,47.3050
-11.986,-95.962,47.977,-47.3020,-0.7900,0.4000,47.3100
-11.986,-95.962,59.977,-47.3070,-0.8000,0.4000,47.3150
-23.986,-95.962,59.977,-47.3120,-0.8000,0.3900,47.3210
-23.986,-95.962,47.977,-47.3040,-0.7900,0.3900,47.3120
-23.986,-95.962,35.977,-47.2900,-0.8000,0.3800,47.2980
-23.986,-95.962,23.977,-47.2880,-0.7900,0.3900,47.2960
-23.986,-95.962,11.977,-47.2800,-0.7900,0.4000,47.2880
-23.986,-95.962,-0.023,-47.2810,-0.7800,0.3900,47.2900
-23.986,-95.962,-12.023,-47.2820,-0.7900,0.4000,47.2910
-23.986,-95.962,-24.023,-47.2890,-0.7900,0.4000,47.2990
-23.986,-95.962,-36.023,-47.2900,-0.8000,0.3900,47.2950
-23.986,-95.962,-48.023,-47.2930,-0.8100,0.4100,47.3000
-23.986,-95.962,-60.023,-47.2960,-0.8100,0.4000,47.3050
-35.986,-95.962,-60.023,-47.2970,-0.8200,0.4100,47.3060
-35.986,-95.962,-48.023,-47.2980,-0.8200,0.4200,47.3070
-35.986,-95.962,-36.023,-47.2920,-0.8000,0.4100,47.3000
-35.986,-95.962,-24.023,-47.2850,-0.8000,0.4100,47.2940
-35.986,-95.962,-12.023,-47.2760,-0.7900,0.4000,47.2840
-35.986,-95.962,-0.023,-47.2730,-0.7900,0.4000,47.2840
-35.986,-95.962,11.977,-47.2730,-0.7800,0.4000,47.2790
-35.986,-95.962,23.977,-47.2820,-0.8000,0.3900,47.2880
-35.986,-95.962,35.977,-47.2880,-0.8000,0.3800,47.2960
-35.986,-95.962,47.977,-47.2950,-0.7900,0.3900,47.3030
-35.986,-95.962,59.977,-47.3070,-0.8000,0.3900,47.3160
-47.986,-95.962,47.977,-47.3110,-0.7900,0.3900,47.3190
-47.986,-95.962,35.977,-47.2910,-0.8000,0.3800,47.2990
-47.986,-95.962,23.977,-47.2740,-0.8000,0.3800,47.2820
-47.986,-95.962,11.977,-47.2770,-0.7900,0.4000,47.2880
-47.986,-95.962,-0.023,-47.2700,-0.7900,0.4100,47.2740
-47.986,-95.962,-12.023,-47.2710,-0.7800,0.4100,47.2780
-47.986,-95.962,-24.023,-47.2720,-0.7900,0.4100,47.2800
-47.986,-95.962,-36.023,-47.2830,-0.8000,0.4200,47.2920
-47.986,-95.962,-48.023,-47.2980,-0.8100,0.4300,47.3070
-59.986,-95.962,-36.023,-47.2870,-0.8100,0.4400,47.2960
-59.986,-95.962,-24.023,-47.2740,-0.7900,0.4500,47.2820
-59.986,-95.962,-12.023,-47.2620,-0.7800,0.4200,47.2730
-59.986,-95.962,-0.023,-47.2560,-0.7800,0.4100,47.2660
-59.986,-95.962,11.977,-47.2650,-0.7900,0.3800,47.2730
-59.986,-95.962,23.977,-47.2660,-0.7900,0.3900,47.2740
-59.986,-95.962,35.977,-47.2830,-0.7800,0.3700,47.2910
-83.986,-83.962,11.977,-47.2640,-0.7900,0.3500,47.2720
-83.986,-83.962,-0.023,-47.2270,-0.7900,0.3800,47.2360
-83.986,-83.962,-12.023,-47.2300,-0.7900,0.4100,47.2380
-71.986,-83.962,-36.023,-47.2470,-0.7700,0.4400,47.2520
-71.986,-83.962,-24.023,-47.2640,-0.7900,0.4500,47.2760
-71.986,-83.962,-12.023,-47.2450,-0.7800,0.4200,47.2540
-71.986,-83.962,-0.023,-47.2440,-0.7800,0.4000,47.2520
-71.986,-83.962,11.977,-47.2500,-0.7900,0.3900,47.2580
-71.986,-83.962,23.977,-47.2510,-0.7900,0.3600,47.2590
-71.986,-83.962,35.977,-47.2710,-0.8000,0.3500,47.2790
-59.986,-83.962,59.977,-47.2980,-0.7900,0.3400,47.3060
-59.986,-83.962,47.977,-47.3330,-0.7900,0.3500,47.3410
-59.986,-83.962,35.977,-47.2950,-0.7900,0.3600,47.3080
-59.986,-83.962,23.977,-47.2760,-0.7900,0.3700,47.2860
-59.986,-83.962,11.977,-47.2660,-0.7900,0.3800,47.2780
-59.986,-83.962,-0.023,-47.2620,-0.7800,0.4000,47.2710
-59.986,-83.962,-12.023,-47.2640,-0.7800,0.4000,47.2720
-59.986,-83.962,-24.023,-47.2690,-0.7800,0.4200,47.2770
-59.986,-83.962,-36.023,-47.2690,-0.7900,0.4300,47.2780
-59.986,-83.962,-48.023,-47.2800,-0.8100,0.4500,47.2890
-59.986,-83.962,-60.023,-47.2930,-0.8200,0.4500,47.3000
-47.986,-83.962,-60.023,-47.3010,-0.8100,0.4300,47.3070
-47.986,-83.962,-48.023,-47.2910,-0.8100,0.4300,47.3010
-47.986,-83.962,-36.023,-47.2890,-0.8000,0.4200,47.2980
-47.986,-83.962,-24.023,-47.2830,-0.8000,0.4300,47.2910
-47.986,-83.962,-12.023,-47.2720,-0.7800,0.4000,47.2800
-47.986,-83.962,-0.023,-47.2730,-0.7900,0.4000,47.2820
-47.986,-83.962,11.977,-47.2740,-0.7900,0.4000,47.2820
-47.986,-83.962,23.977,-47.2810,-0.7900,0.3800,47.2850
-47.986,-83.962,35.977,-47.2920,-0.7800,0.3800,47.2990
-47.986,-83.962,47.977,-47.3060,-0.7900,0.3700,47.3110
-47.986,-83.962,59.977,-47.3220,-0.7800,0.3900,47.3300
-35.986,-83.962,71.977,-47.3320,-0.7800,0.4100,47.3400
-35.986,-83.962,59.977,-47.3200,-0.7900,0.3900,47.3280
-35.986,-83.962,47.977,-47.3150,-0.8000,0.3800,47.3230
-35.986,-83.962,35.977,-47.2970,-0.7900,0.3900,47.3050
-35.986,-83.962,23.977,-47.2810,-0.7900,0.3900,47.2910
-35.986,-83.962,11.977,-47.2870,-0.7900,0.3900,47.2950
-35.986,-83.962,-0.023,-47.2790,-0.7900,0.4000,47.2870
-35.986,-83.962,-12.023,-47.2790,-0.7900,0.3900,47.2870
-35.986,-83.962,-24.023,-47.2830,-0.8000,0.4100,47.2920
-35.986,-83.962,-36.023,-47.2810,-0.8100,0.4100,47.2900
-35.986,-83.962,-48.023,-47.2900,-0.8100,0.4100,47.2990
-35.986,-83.962,-60.023,-47.2940,-0.8000,0.4200,47.3030
-35.986,-83.962,-72.023,-47.2940,-0.8200,0.4100,47.3030
-23.986,-83.962,-72.023,-47.2940,-0.8100,0.4100,47.3020
-23.986,-83.962,-60.023,-47.2970,-0.8000,0.4100,47.3050
-23.986,-83.962,-48.023,-47.2930,-0.8000,0.4000,47.2990
-23.986,-83.962,-36.023,-47.2880,-0.7900,0.4100,47.2970
-23.986,-83.962,-24.023,-47.2820,-0.8000,0.4100,47.2900
-23.986,-83.962,-12.023,-47.2800,-0.7900,0.4100,47.2890
-23.986,-83.962,-0.023,-47.2730,-0.7800,0.4000,47.2810
-23.986,-83.962,11.977,-47.2870,-0.7900,0.4100,47.2950
-23.986,-83.962,23.977,-47.2840,-0.7900,0.3900,47.2910
-23.986,-83.962,35.977,-47.2980,-0.7900,0.4000,47.3030
-23.986,-83.962,47.977,-47.3090,-0.7900,0.3900,47.3160
-23.986,-83.962,59.977,-47.3120,-0.7900,0.3900,47.3200
-23.986,-83.962,71.977,-47.3220,-0.7900,0.4000,47.3300
-11.986,-83.962,83.977,-47.3270,-0.7900,0.4000,47.3350
-11.986,-83.962,71.977,-47.3210,-0.8000,0.3900,47.3290
-11.986,-83.962,59.977,-47.3160,-0.8000,0.4000,47.3240
-11.986,-83.962,47.977,-47.3060,-0.7900,0.4000,47.3140
-11.986,-83.962,35.977,-47.3030,-0.7900,0.4000,47.3140
-11.986,-83.962,23.977,-47.2960,-0.8000,0.3900,47.3080
-11.986,-83.962,11.977,-47.2860,-0.7900,0.4000,47.2960
-11.986,-83.962,-0.023,-47.2830,-0.8000,0.4000,47.2920
-11.986,-83.962,-12.023,-47.2800,-0.7900,0.4000,47.2880
-11.986,-83.962,-24.023,-47.2850,-0.8000,0.4000,47.2930
-11.986,-83.962,-36.023,-47.2860,-0.8000,0.4000,47.2950
-11.986,-83.962,-48.023,-47.2860,-0.8000,0.3900,47.2940
-11.986,-83.962,-60.023,-47.2890,-0.8000,0.4000,47.2970
-11.986,-83.962,-72.023,-47.2920,-0.8100,0.3900,47.3030
-11.986,-83.962,-84.023,-47.2890,-0.8100,0.3900,47.2960
0.014,-83.962,-84.023,-47.2950,-0.8100,0.3900,47.3030
0.014,-83.962,-72.023,-47.2910,-0.8000,0.3900,47.3000
0.014,-83.962,-60.023,-47.2870,-0.8000,0.3900,47.2950
0.014,-83.962,-48.023,-47.2860,-0.8000,0.4000,47.2940
0.014,-83.962,-36.023,-47.2830,-0.7900,0.3900,47.2910
0.014,-83.962,-24.023,-47.2810,-0.7800,0.3900,47.2900
0.014,-83.962,-12.023,-47.2780,-0.7900,0.4000,47.2870
0.014,-83.962,-0.023,-47.2800,-0.8000,0.4100,47.2890
0.014,-83.962,11.977,-47.2840,-0.7900,0.4000,47.2890
0.014,-83.962,23.977,-47.2860,-0.8000,0.4000,47.2950
0.014,-83.962,35.977,-47.2990,-0.7900,0.4000,47.3070
0.014,-83.962,47.977,-47.2990,-0.7900,0.4000,47.3070
0.014,-83.962,59.977,-47.3120,-0.7900,0.4100,47.3200
0.014,-83.962,71.977,-47.3180,-0.7700,0.4100,47.3260
0.014,-83.962,83.977,-47.3150,-0.7800,0.4200,47.3230
12.014,-83.962,83.977,-47.3090,-0.7800,0.4300,47.3210
12.014,-83.962,71.977,-47.3140,-0.7900,0.4200,47.3210
12.014,-83.962,59.977,-47.3060,-0.8000,0.4100,47.3130
12.014,-83.962,47.977,-47.3040,-0.8000,0.4100,47.3090
12.014,-83.962,35.977,-47.2970,-0.7900,0.4200,47.3060
12.014,-83.962,23.977,-47.2900,-0.7900,0.4000,47.2980
