X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
259.40, 123.88, 178.27, -47.502000, -2.015000, -0.265000
269.83, 123.88, 178.27, -47.501000, -2.010000, -0.277000
280.27, 123.88, 178.27, -47.495000, -2.011000, -0.269000
290.70, 123.88, 178.27, -47.488000, -2.018000, -0.289000
301.14, 123.88, 178.27, -47.486000, -2.010000, -0.291000
311.57, 113.44, 178.27, -47.476000, -1.999000, -0.268000
301.14, 113.44, 178.27, -47.481000, -2.008000, -0.269000
290.70, 113.44, 178.27, -47.483000, -2.005000, -0.271000
280.27, 113.44, 178.27, -47.485000, -2.021000, -0.272000
269.83, 113.44, 178.27, -47.492000, -2.007000, -0.259000
259.40, 113.44, 178.27, -47.494000, -2.021000, -0.255000
248.96, 113.44, 178.27, -47.499000, -2.020000, -0.255000
238.53, 113.44, 178.27, -47.506000, -2.017000, -0.249000
228.09, 113.44, 178.27, -47.519000, -2.007000, -0.242000
217.66, 113.44, 178.27, -47.525000, -2.007000, -0.237000
228.09, 103.01, 178.27, -47.518000, -2.013000, -0.222000
238.53, 103.01, 178.27, -47.503000, -2.026000, -0.232000
248.96, 103.01, 178.27, -47.496000, -2.022000, -0.257000
259.40, 103.01, 178.27, -47.490000, -2.023000, -0.252000
269.83, 103.01, 178.27, -47.483000, -2.023000, -0.255000
280.27, 103.01, 178.27, -47.487000, -2.015000, -0.265000
280.27, 71.70, 188.71, -47.448000, -2.009000, -0.282000
269.83, 71.70, 188.71, -47.447000, -2.027000, -0.250000
259.40, 71.70, 188.71, -47.454000, -2.026000, -0.243000
248.96, 71.70, 188.71, -47.464000, -2.044000, -0.230000
217.66, 82.14, 188.71, -47.503000, -2.031000, -0.199000
228.09, 82.14, 188.71, -47.495000, -2.037000, -0.210000
238.53, 82.14, 188.71, -47.484000, -2.032000, -0.227000
248.96, 82.14, 188.71, -47.478000, -2.029000, -0.242000
259.40, 82.14, 188.71, -47.471000, -2.031000, -0.258000
269.83, 82.14, 188.71, -47.467000, -2.020000, -0.258000
280.27, 82.14, 188.71, -47.460000, -2.027000, -0.282000
290.70, 82.14, 188.71, -47.462000, -2.013000, -0.299000
311.57, 92.57, 188.71, -47.489000, -2.017000, -0.292000
301.14, 92.57, 188.71, -47.487000, -2.016000, -0.277000
290.70, 92.57, 188.71, -47.478000, -2.026000, -0.281000
280.27, 92.57, 188.71, -47.476000, -2.018000, -0.265000
269.83, 92.57, 188.71, -47.478000, -2.015000, -0.261000
259.40, 92.57, 188.71, -47.478000, -2.032000, -0.249000
248.96, 92.57, 188.71, -47.486000, -2.030000, -0.242000
238.53, 92.57, 188.71, -47.493000, -2.028000, -0.243000
228.09, 92.57, 188.71, -47.509000, -2.021000, -0.221000
217.66, 92.57, 188.71, -47.514000, -2.015000, -0.216000
196.79, 103.01, 188.71, -47.543000, -1.987000, -0.232000
207.22, 103.01, 188.71, -47.533000, -2.015000, -0.228000
217.66, 103.01, 188.71, -47.523000, -2.016000, -0.242000
228.09, 103.01, 188.71, -47.513000, -2.018000, -0.233000
238.53, 103.01, 188.71, -47.502000, -2.026000, -0.240000
248.96, 103.01, 188.71, -47.497000, -2.014000, -0.252000
259.40, 103.01, 188.71, -47.488000, -2.019000, -0.264000
269.83, 103.01, 188.71, -47.490000, -2.027000, -0.270000
280.27, 103.01, 188.71, -47.483000, -2.015000, -0.268000
290.70, 103.01, 188.71, -47.481000, -2.014000, -0.273000
301.14, 103.01, 188.71, -47.483000, -2.022000, -0.275000
311.57, 103.01, 188.71, -47.485000, -2.020000, -0.269000
332.44, 113.44, 188.71, -47.460000, -1.985000, -0.276000
322.01, 113.44, 188.71, -47.476000, -2.007000, -0.273000
311.57, 113.44, 188.71, -47.483000, -2.011000, -0.271000
301.14, 113.44, 188.71, -47.487000, -2.019000, -0.281000
290.70, 113.44, 188.71, -47.490000, -2.014000, -0.285000
280.27, 113.44, 188.71, -47.494000, -2.014000, -0.276000
269.83, 113.44, 188.71, -47.499000, -2.022000, -0.270000
259.40, 113.44, 188.71, -47.497000, -2.019000, -0.262000
248.96, 113.44, 188.71, -47.506000, -2.017000, -0.250000
238.53, 113.44, 188.71, -47.510000, -2.015000, -0.252000
228.09, 113.44, 188.71, -47.518000, -2.021000, -0.249000
217.66, 113.44, 188.71, -47.530000, -2.007000, -0.244000
207.22, 113.44, 188.71, -47.533000, -2.002000, -0.241000
196.79, 113.44, 188.71, -47.536000, -1.993000, -0.252000
186.35, 123.88, 188.71, -47.537000, -1.992000, -0.259000
196.79, 123.88, 188.71, -47.537000, -1.990000, -0.258000
207.22, 123.88, 188.71, -47.532000, -1.995000, -0.264000
217.66, 123.88, 188.71, -47.528000, -2.000000, -0.251000
228.09, 123.88, 188.71, -47.517000, -2.006000, -0.269000
238.53, 123.88, 188.71, -47.511000, -2.011000, -0.269000
248.96, 123.88, 188.71, -47.511000, -2.013000, -0.263000
259.40, 123.88, 188.71, -47.507000, -2.018000, -0.269000
269.83, 123.88, 188.71, -47.500000, -2.016000, -0.274000
280.27, 123.88, 188.71, -47.499000, -2.014000, -0.273000
290.70, 123.88, 188.71, -47.492000, -2.017000, -0.285000
301.14, 123.88, 188.71, -47.492000, -2.011000, -0.289000
311.57, 123.88, 188.71, -47.484000, -2.013000, -0.297000
322.01, 123.88, 188.71, -47.474000, -2.004000, -0.298000
342.88, 134.31, 188.71, -47.457000, -2.003000, -0.359000
332.44, 134.31, 188.71, -47.467000, -2.010000, -0.324000
322.01, 134.31, 188.71, -47.478000, -2.019000, -0.310000
311.57, 134.31, 188.71, -47.492000, -2.008000, -0.300000
301.14, 134.31, 188.71, -47.498000, -2.022000, -0.300000
290.70, 134.31, 188.71, -47.501000, -2.017000, -0.289000
280.27, 134.31, 188.71, -47.502000, -2.019000, -0.287000
269.83, 134.31, 188.71, -47.501000, -2.023000, -0.264000
259.40, 134.31, 188.71, -47.507000, -2.026000, -0.275000
248.96, 134.31, 188.71, -47.509000, -2.017000, -0.270000
238.53, 134.31, 188.71, -47.517000, -2.003000, -0.269000
228.09, 134.31, 188.71, -47.523000, -2.007000, -0.269000
217.66, 134.31, 188.71, -47.527000, -1.995000, -0.257000
207.22, 134.31, 188.71, -47.535000, -1.982000, -0.263000
196.79, 134.31, 188.71, -47.536000, -1.995000, -0.268000
186.35, 134.31, 188.71, -47.541000, -1.984000, -0.263000
175.92, 144.75, 188.71, -47.536000, -1.970000, -0.269000
186.35, 144.75, 188.71, -47.538000, -1.983000, -0.273000
196.79, 144.75, 188.71, -47.536000, -1.970000, -0.275000
207.22, 144.75, 188.71, -47.536000, -1.992000, -0.270000
217.66, 144.75, 188.71, -47.532000, -1.996000, -0.263000
228.09, 144.75, 188.71, -47.523000, -2.003000, -0.274000
238.53, 144.75, 188.71, -47.519000, -2.011000, -0.278000
248.96, 144.75, 188.71, -47.516000, -2.019000, -0.282000
259.40, 144.75, 188.71, -47.510000, -2.019000, -0.277000
269.83, 144.75, 188.71, -47.513000, -2.015000, -0.278000
280.27, 144.75, 188.71, -47.511000, -2.018000, -0.294000
290.70, 144.75, 188.71, -47.505000, -2.027000, -0.296000
